t,mid,q,x,pnl,sigma,spread
1.72279e+09,0.00794611,-858,8.35823,1.54046,3.30845e-06,2.00154e-06
1.72279e+09,0.00795083,-838,8.19993,1.53714,3.07199e-06,2.00085e-06
1.72279e+09,0.00787188,-775,7.7012,1.60049,2.91969e-06,2.00034e-06
1.72279e+09,0.00778406,-748,7.48999,1.66751,3.24894e-06,2.0037e-06
1.72279e+09,0.00775974,-726,7.31885,1.68528,3.59786e-06,2.00389e-06
1.72279e+09,0.0078487,-722,7.28753,1.62077,4.19154e-06,2.0044e-06
1.72279e+09,0.00787616,-698,7.09987,1.60231,4.13991e-06,2.00343e-06
1.72279e+09,0.00786554,-689,7.02909,1.60973,3.61751e-06,2.00197e-06
1.72279e+09,0.00777571,-652,6.74079,1.67103,3.70465e-06,2.00138e-06
1.72279e+09,0.0079939,-670,6.88451,1.5286,5.06984e-06,2.00129e-06
1.72279e+09,0.0079613,-594,6.2748,1.54578,5.07392e-06,2.00001e-06
1.72279e+09,0.00808293,-627,6.54092,1.47292,3.72748e-06,2.00431e-06
1.7228e+09,0.0080182,-571,6.08946,1.51107,3.77509e-06,2.00371e-06
1.7228e+09,0.00807749,-552,5.93604,1.47726,4.26489e-06,2.00383e-06
1.7228e+09,0.00807945,-549,5.91245,1.47683,3.93625e-06,2.00249e-06
1.7228e+09,0.0081002,-548,5.90437,1.46546,2.85243e-06,2.0009e-06
1.7228e+09,0.0081836,-564,6.03638,1.42083,2.67892e-06,2.00043e-06
1.7228e+09,0.00820532,-527,5.73116,1.40696,3.21103e-06,2.00011e-06
1.7228e+09,0.00817834,-527,5.73152,1.42154,3.33516e-06,2.00356e-06
1.7228e+09,0.00831628,-544,5.86974,1.34568,3.09116e-06,2.00258e-06
1.7228e+09,0.00844283,-621,6.51578,1.27278,3.16381e-06,2.00221e-06
1.7228e+09,0.00840203,-598,6.32307,1.29865,3.31267e-06,2.00187e-06
1.7228e+09,0.00838361,-545,5.87899,1.30993,3.0623e-06,2.00113e-06
1.7228e+09,0.00839052,-536,5.80359,1.30627,2.72459e-06,2.00052e-06
1.7228e+09,0.0083812,-553,5.94624,1.31143,2.63789e-06,2.00014e-06
1.7228e+09,0.00840309,-563,6.0304,1.29946,2.46927e-06,2.00202e-06
1.7228e+09,0.0085151,-568,6.07286,1.23628,2.46579e-06,2.00171e-06
1.7228e+09,0.0084647,-544,5.86892,1.26412,2.5606e-06,2.00151e-06
1.7228e+09,0.0084564,-545,5.87729,1.26855,2.29373e-06,2.00095e-06
1.7228e+09,0.00835282,-499,5.49108,1.32302,2.23768e-06,2.00065e-06
1.7228e+09,0.00831918,-499,5.49139,1.34012,2.65725e-06,2.00057e-06
1.7228e+09,0.0083289,-505,5.54141,1.33531,2.49739e-06,2.00019e-06
1.72281e+09,0.00833157,-528,5.73365,1.33458,2.04614e-06,2.00143e-06
1.72281e+09,0.00834286,-505,5.54213,1.32898,1.91564e-06,2.00107e-06
1.72281e+09,0.00831691,-504,5.53383,1.3421,1.88775e-06,2.00086e-06
1.72281e+09,0.00824429,-450,5.08728,1.37735,1.72771e-06,2.00057e-06
1.72281e+09,0.00828057,-473,5.27747,1.36076,1.48254e-06,2.00031e-06
1.72281e+09,0.00828742,-474,5.28579,1.35755,1.1416e-06,2.00012e-06
1.72281e+09,0.00826808,-471,5.26158,1.36731,8.81619e-07,2.00003e-06
1.72281e+09,0.00825298,-469,5.24504,1.37439,1.38086e-06,2.00067e-06
1.72281e+09,0.00828966,-503,5.52691,1.35721,2.10208e-06,2.00133e-06
1.72281e+09,0.00827635,-487,5.39316,1.36258,2.90678e-06,2.00212e-06
1.72281e+09,0.00833304,-498,5.48459,1.33474,2.9526e-06,2.00175e-06
1.72281e+09,0.00831804,-524,5.70218,1.34352,2.55549e-06,2.00098e-06
1.72281e+09,0.00826868,-543,5.86002,1.37013,2.42415e-06,2.00059e-06
1.72281e+09,0.00823456,-529,5.74467,1.38859,2.15776e-06,2.00024e-06
1.72281e+09,0.00823917,-549,5.90949,1.38618,1.78128e-06,2e-06
1.72281e+09,0.00817775,-536,5.80273,1.41945,1.82662e-06,2.00104e-06
1.72281e+09,0.0081256,-504,5.54226,1.44696,1.93047e-06,2.00097e-06
1.72281e+09,0.008157,-545,5.87605,1.43048,1.96085e-06,2.00081e-06
1.72281e+09,0.00816148,-546,5.8846,1.42843,2.11699e-06,2.00072e-06
1.72281e+09,0.00814271,-537,5.81133,1.43869,2.00746e-06,2.00045e-06
1.72282e+09,0.00807973,-500,5.5112,1.47134,1.91704e-06,2.00022e-06
1.72282e+09,0.0080826,-506,5.55994,1.47014,1.97912e-06,2.00004e-06
1.72282e+09,0.00812873,-509,5.58491,1.44738,2.31243e-06,2.00171e-06
1.72282e+09,0.00803089,-454,5.14093,1.4949,2.68242e-06,2.00195e-06
1.72282e+09,0.0081047,-405,4.73995,1.45755,3.9693e-06,2.00347e-06
1.72282e+09,0.00806522,-373,4.48013,1.47181,4.31909e-06,2.00318e-06
1.72282e+09,0.00799768,-302,3.91087,1.49557,4.07122e-06,2.002e-06
1.72282e+09,0.00786437,-298,3.87927,1.53569,4.41017e-06,2.00137e-06
1.72282e+09,0.00770025,-207,3.16807,1.57412,4.3337e-06,2.00038e-06
1.72282e+09,0.00763522,-176,2.93,1.5862,5.4639e-06,2.00987e-06
1.72282e+09,0.00709422,-142,2.67772,1.67034,1.67611e-05,2.07879e-06
1.72282e+09,0.00740424,-146,2.70576,1.62474,1.73766e-05,2.06958e-06
1.72282e+09,0.00724067,-101,2.37568,1.64437,9.09801e-06,2.01494e-06
1.72282e+09,0.00735645,-70,2.15082,1.63587,7.89839e-06,2.00814e-06
1.72282e+09,0.00722996,35,1.38808,1.64113,6.11336e-06,2.00301e-06
1.72282e+09,0.00725794,75,1.09891,1.64326,5.30966e-06,2.00086e-06
1.72282e+09,0.00707184,156,0.517284,1.62049,4.97523e-06,2.00843e-06
1.72282e+09,0.00709851,165,0.453594,1.62485,5.35909e-06,2.00834e-06
1.72282e+09,0.00704858,189,0.284001,1.61618,5.85336e-06,2.00824e-06
1.72282e+09,0.00713408,155,0.52651,1.63229,5.73953e-06,2.00628e-06
1.72283e+09,0.00706593,188,0.291996,1.62039,5.19044e-06,2.00379e-06
1.72283e+09,0.00700959,199,0.215116,1.61002,4.77535e-06,2.00206e-06
1.72283e+09,0.00714069,119,0.780935,1.63068,4.71627e-06,2.0009e-06
1.72283e+09,0.0071113,144,0.602466,1.62649,4.35148e-06,2.00664e-06
1.72283e+09,0.00703089,173,0.396828,1.61317,3.6593e-06,2.00402e-06
1.72283e+09,0.0070004,141,0.621332,1.60839,3.55262e-06,2.00316e-06
1.72283e+09,0.00705998,139,0.634981,1.61632,3.59595e-06,2.00259e-06
1.72283e+09,0.00702138,164,0.458937,1.61044,3.51529e-06,2.00186e-06
1.72283e+09,0.00709837,182,0.331349,1.62325,3.73836e-06,2.0014e-06
1.72283e+09,0.00704226,180,0.346378,1.61398,3.50602e-06,2.00062e-06
1.72283e+09,0.0070148,181,0.339935,1.60961,2.81944e-06,2e-06
1.72283e+09,0.00705209,162,0.473826,1.61626,2.81865e-06,2.00247e-06
1.72283e+09,0.00712983,91,0.979242,1.62806,3.05154e-06,2.00243e-06
1.72283e+09,0.00704707,117,0.795408,1.61992,2.94642e-06,2.00183e-06
1.72283e+09,0.00704175,76,1.08295,1.61812,2.65298e-06,2.00113e-06
1.72283e+09,0.00701097,73,1.10415,1.61595,2.56222e-06,2.00073e-06
1.72283e+09,0.0069717,69,1.13297,1.61402,2.46256e-06,2.00037e-06
1.72283e+09,0.00702854,59,1.20297,1.61765,2.43923e-06,2.00006e-06
1.72283e+09,0.00689289,101,0.909682,1.60586,3.35819e-06,2.00361e-06
1.72283e+09,0.00685519,162,0.495227,1.60577,4.8978e-06,2.00649e-06
